,week,Chipotle Sauce,Arugula,Red Onions,Coarse Sicilian Salami,Pesto Sauce,Alfredo Sauce,Blue Cheese,Pineapple,Thai Sweet Chilli Sauce,Italian Sausage,Romano Cheese,Pepperoni,Capocollo,Chicken,Provolone Cheese,Parmigiano Reggiano Cheese,Artichokes,Spinach,Pears,Barbecued Chicken,Jalapeno Peppers,Barbecue Sauce,Mushrooms,Plum Tomatoes,Goat Cheese,Gorgonzola Piccante Cheese,Green Peppers,Asiago Cheese,Thyme,Chorizo Sausage,Fontina Cheese,Brie Carre Cheese,Artichoke,Ricotta Cheese,Prosciutto di San Daniele,Sun-dried Tomatoes,Sliced Ham,Onions,Beef Chuck Roast,Pancetta,Oregano,Zucchini,Feta Cheese,Genoa Salami,Kalamata Olives,Eggplant,Anchovies,Mozzarella Cheese,Garlic,Bacon,Green Olives,Nduja Salami,Peperoncini verdi,Smoked Gouda Cheese,Calabrese Salami,Cilantro,Red Peppers,Caramelized Onions,Luganega Sausage,Tomatoes,Prosciutto,Gouda Cheese,Friggitello Peppers,Corn,Soppressata Salami
0,0,730,256,4672,434,361,292,1039,1638,930,557,1039,2528,2309,2205,1039,507,1378,1755,29,657,1185,657,2049,137,1302,507,1015,709,29,557,584,29,467,507,256,268,701,434,277,32,496,338,881,222,616,102,244,3208,6818,1402,1655,32,806,1039,788,730,4424,29,434,6604,29,467,32,730,117
1,1,309,119,1286,252,168,-20,76,135,101,121,76,828,467,238,76,321,303,469,7,128,388,128,451,27,159,321,410,154,7,121,128,7,77,321,119,42,36,252,168,116,17,240,317,141,215,100,102,981,2338,148,568,116,142,76,176,309,850,7,252,2016,7,77,116,309,44
2,2,463,57,1693,231,183,41,594,391,235,127,594,1184,418,1258,594,113,320,1111,11,152,980,152,710,48,155,113,426,193,11,127,580,11,516,113,57,117,157,231,66,36,43,218,272,93,177,33,184,1635,2863,288,608,36,114,594,165,463,1393,11,231,2250,11,516,36,463,67
3,3,225,156,1316,108,124,19,285,557,339,209,285,860,348,571,285,327,196,493,28,241,338,241,488,34,167,327,490,185,28,209,143,28,114,327,156,79,219,108,63,55,146,206,178,128,138,55,245,1289,2147,313,415,55,23,285,51,225,1301,28,108,1940,28,114,55,225,31
4,4,143,96,2186,155,207,91,186,448,261,299,186,1223,592,769,186,344,418,903,23,639,470,639,948,4,356,344,970,324,23,299,405,23,324,344,96,65,187,155,106,160,205,353,205,120,222,93,140,1151,2859,657,427,160,151,186,112,143,2101,23,155,2792,23,324,160,143,82
5,5,253,160,1635,227,117,59,233,320,87,138,233,625,932,529,233,187,545,573,45,274,427,274,588,44,545,187,411,139,45,138,208,45,170,187,160,69,234,227,87,43,147,128,318,52,161,51,114,1028,2544,304,722,43,396,233,338,253,1166,45,227,2282,45,170,43,253,35
6,6,537,86,2060,188,163,105,232,661,291,214,232,878,397,914,232,456,303,531,34,452,645,452,639,72,193,456,610,184,34,214,151,34,107,456,86,103,370,188,120,80,83,153,299,47,225,54,138,1483,2335,447,560,80,110,232,158,537,1926,34,188,2580,34,107,80,537,41
7,7,301,142,1447,104,223,6,299,512,288,166,299,993,472,1037,299,250,401,975,35,156,800,156,626,84,148,250,366,188,35,166,568,35,498,250,142,132,223,104,64,110,24,153,265,117,213,81,91,1267,2546,399,463,110,123,299,207,301,1253,35,104,2007,35,498,110,301,72
8,8,441,58,1593,191,162,48,250,536,164,270,250,1068,637,805,250,336,565,901,10,191,626,191,775,96,405,336,489,332,10,270,232,10,183,336,58,140,368,191,122,31,147,221,469,175,331,58,67,1301,2516,410,432,31,258,250,57,441,1407,10,191,2406,10,183,31,441,50
9,9,361,167,1781,120,153,157,269,710,355,269,269,924,563,1054,269,374,273,628,23,409,611,409,816,25,214,374,624,320,23,269,318,23,250,374,167,66,356,120,28,53,103,168,172,127,88,60,68,1362,2296,523,466,53,112,269,218,361,1859,23,120,2308,23,250,53,361,68
